Folder,Sensor,Avg_Tau,Std_Tau,Avg_Intensity,Std_Intensity,Valid_Percent,Decay_Diagnosis
0175,3,0,0,4954.516,732.99567,0,Normal decay pattern
0175,4,0,0,84.99817,58.108025,0,Normal decay pattern
0176,1,0,0,1569.6382,416.79993,0,Normal decay pattern
0176,2,0,0,467.4924,260.72586,0,Normal decay pattern
0176,3,0,0,4975.4053,729.6716,0,Normal decay pattern
0176,4,0,0,98.62589,65.97426,0,Normal decay pattern
0177,1,0,0,1518.1947,410.5192,0,Normal decay pattern
0177,2,0,0,436.98016,245.9053,0,Normal decay pattern
0177,3,0,0,4898.834,732.3218,0,Normal decay pattern
0177,4,0,0,88.30403,61.194946,0,Normal decay pattern
0178,1,0,0,1577.3627,416.2276,0,Normal decay pattern
0178,2,0,0,487.2781,261.86765,0,Normal decay pattern
0178,3,0,0,4948.011,717.2961,0,Normal decay pattern
0178,4,0,0,109.728546,67.879234,0,Normal decay pattern
0179,1,0,0,1571.6854,417.41418,0,Normal decay pattern
0179,2,0,0,459.70633,261.03995,0,Normal decay pattern
0179,3,0,0,4970.843,729.3802,0,Normal decay pattern
0179,4,0,0,97.40504,65.72249,0,Normal decay pattern
0180,1,0,0,1523.9559,413.57846,0,Normal decay pattern
0180,2,0,0,441.4236,243.85501,0,Normal decay pattern
0180,3,0,0,4874.066,729.5664,0,Normal decay pattern
0180,4,0,0,97.36278,62.972153,0,Normal decay pattern
0181,1,0,0,1487.1224,401.19574,0,Normal decay pattern
0181,2,0,0,440.79254,241.81503,0,Normal decay pattern
0181,3,0,0,4796.316,717.93787,0,Normal decay pattern
0181,4,0,0,93.85968,63.23314,0,Normal decay pattern
0182,1,0,0,1464.1494,399.39124,0,Normal decay pattern
0182,2,0,0,424.45215,234.02896,0,Normal decay pattern
0182,3,0,0,4720.647,715.59863,0,Normal decay pattern
0182,4,0,0,90.73467,60.38025,0,Normal decay pattern
0183,1,0,0,1546.4164,425.99152,0,Normal decay pattern
0183,2,0,0,425.8598,247.9287,0,Normal decay pattern
0183,3,0,0,4991.1035,745.44275,0,Normal decay pattern
0183,4,0,0,83.34804,62.029842,0,Normal decay pattern
0184,1,0,0,1561.422,413.22266,0,Normal decay pattern
0184,2,0,0,462.2738,256.02255,0,Normal decay pattern
0184,3,0,0,4940.5625,734.697,0,Normal decay pattern
0184,4,0,0,107.065346,70.49952,0,Normal decay pattern
0185,1,0,0,1541.8691,410.47482,0,Normal decay pattern
0185,2,0,0,456.67557,255.17131,0,Normal decay pattern
0185,3,0,0,4883.1665,730.0077,0,Normal decay pattern
0185,4,0,0,103.230385,70.99498,0,Normal decay pattern
0186,1,0,0,1485.8546,401.4846,0,Normal decay pattern
0186,2,0,0,425.4735,238.13377,0,Normal decay pattern
0186,3,0,0,4773.9365,722.50366,0,Normal decay pattern
0186,4,0,0,99.108925,65.597984,0,Normal decay pattern
0187,1,0,0,1474.0294,398.75885,0,Normal decay pattern
0187,2,0,0,430.0887,235.70284,0,Normal decay pattern
0187,3,0,0,4721.3335,715.59216,0,Normal decay pattern
0187,4,0,0,100.883484,66.752975,0,Normal decay pattern
0188,1,0,0,1381.7477,381.7319,0,Normal decay pattern
0188,2,0,0,396.77667,218.55586,0,Normal decay pattern
0188,3,0,0,4557.018,711.6089,0,Normal decay pattern
0188,4,0,0,91.55431,60.5383,0,Normal decay pattern
0189,1,0,0,1399.7657,381.78668,0,Normal decay pattern
0189,2,0,0,394.26422,221.41284,0,Normal decay pattern
0189,3,0,0,4542.711,708.5058,0,Normal decay pattern
0189,4,0,0,90.62788,62.141376,0,Normal decay pattern
0190,1,0,0,1410.7336,388.84735,0,Normal decay pattern
0190,2,0,0,393.39233,219.65897,0,Normal decay pattern
0190,3,0,0,4609.334,717.1669,0,Normal decay pattern
0190,4,0,0,91.74754,61.27087,0,Normal decay pattern
0191,1,0,0,1542.3038,413.39325,0,Normal decay pattern
0191,2,0,0,460.00485,245.65451,0,Normal decay pattern
0191,3,0,0,4847.037,730.3039,0,Normal decay pattern
0191,4,0,0,112.9738,72.94657,0,Normal decay pattern
0192,1,0,0,1458.8768,398.28406,0,Normal decay pattern
0192,2,0,0,426.22507,234.71034,0,Normal decay pattern
0192,3,0,0,4700.644,722.7001,0,Normal decay pattern
0192,4,0,0,102.19411,68.0038,0,Normal decay pattern
0193,1,0,0,1596.1272,431.7781,0,Normal decay pattern
0193,2,0,0,451.60544,262.88724,0,Normal decay pattern
0193,3,0,0,5056.7915,753.5298,0,Normal decay pattern
0193,4,0,0,99.62479,72.784775,0,Normal decay pattern
0194,1,0,0,1571.4696,420.14786,0,Normal decay pattern
0194,2,0,0,456.7425,258.73035,0,Normal decay pattern
0194,3,0,0,4967.96,750.13855,0,Normal decay pattern
0194,4,0,0,112.05052,75.22697,0,Normal decay pattern
0195,1,0,0,1597.7787,422.4728,0,Normal decay pattern
0195,2,0,0,470.7074,264.66772,0,Normal decay pattern
0195,3,0,0,4993.705,748.6804,0,Normal decay pattern
0195,4,0,0,114.385124,76.725105,0,Normal decay pattern
0196,1,0,0,1572.8933,420.95996,0,Normal decay pattern
0196,2,0,0,463.31863,253.32121,0,Normal decay pattern
0196,3,0,0,4955.331,745.9877,0,Normal decay pattern
0196,4,0,0,111.73801,76.18526,0,Normal decay pattern
0197,1,0,0,1642.322,425.5473,0,Normal decay pattern
0197,2,0,0,516.2707,277.2836,0,Normal decay pattern
0197,3,0,0,5051.588,751.21326,0,Normal decay pattern
0197,4,0,0,136.83644,86.84681,0,Normal decay pattern
0198,1,0,0,1628.857,427.0247,0,Normal decay pattern
0198,2,0,0,486.79297,273.60153,0,Normal decay pattern
0198,3,0,0,5034.8433,753.09814,0,Normal decay pattern
0198,4,0,0,118.47678,80.313156,0,Normal decay pattern
0199,1,0,0,1557.8578,414.0416,0,Normal decay pattern
0199,2,0,0,465.6803,254.49936,0,Normal decay pattern
0199,3,0,0,4874.9077,740.6568,0,Normal decay pattern
