Time (s),ADC Value
0.0,627
0.06502079963684082,638
0.07372593879699707,641
0.08081293106079102,650
0.08775687217712402,643
0.09468507766723633,643
0.1016550064086914,647
0.10859107971191406,651
0.11547303199768066,648
0.12240982055664062,644
0.12925314903259277,646
0.1361689567565918,649
0.1430208683013916,645
0.14988303184509277,644
0.15674495697021484,633
0.16365313529968262,650
0.17058396339416504,641
0.17752385139465332,648
0.18444204330444336,644
0.1913588047027588,647
0.2710709571838379,639
0.39575910568237305,643
0.5221140384674072,643
0.6447339057922363,651
0.7664170265197754,637
0.8824028968811035,642
1.0033369064331055,643
1.1219279766082764,638
1.2409300804138184,640
1.3612511157989502,633
1.4781649112701416,642
1.5950582027435303,637
1.716897964477539,635
1.8353300094604492,638
1.9558360576629639,637
2.0745689868927,640
2.1950387954711914,635
2.3137080669403076,635
2.432684898376465,634
2.5513179302215576,636
2.6711008548736572,646
2.787585973739624,635
2.9103519916534424,635
3.028902053833008,649
3.1505677700042725,635
3.268893003463745,634
3.3860368728637695,632
3.506993055343628,646
3.6231400966644287,634
3.739655017852783,640
3.8623249530792236,641
3.9806370735168457,638
4.09822416305542,640
4.219599008560181,639
4.33964991569519,637
4.456001043319702,635
4.5797529220581055,635
4.6960248947143555,636
4.814538955688477,638
4.932320833206177,640
5.0538859367370605,638
5.171004772186279,626
5.291922092437744,629
5.411545991897583,629
5.533585071563721,629
5.646872043609619,627
5.7693328857421875,635
5.889019012451172,630
6.00433611869812,629
6.128434896469116,620
6.248239040374756,623
6.365800857543945,619
6.484691858291626,618
6.604434013366699,632
6.723378896713257,623
6.842434883117676,620
6.962910890579224,623
7.081746816635132,623
7.2015700340271,624
7.318274021148682,623
7.440521001815796,622
7.5607380867004395,623
7.680093050003052,623
7.797413110733032,626
7.912128925323486,624
8.03683090209961,625
8.152965068817139,621
8.27358102798462,623
8.39151406288147,620
8.511510848999023,628
8.629456043243408,626
8.747422933578491,629
8.86576509475708,632
8.985554933547974,630
9.107666969299316,630
9.225895881652832,624
9.342447996139526,626
9.464570045471191,633
9.584378004074097,630
9.703074932098389,630
9.823816776275635,632
9.941504955291748,629
