Time (s),ADC Value
9.5367431640625e-07,511
0.07067108154296875,510
0.07913398742675781,511
0.08631300926208496,510
0.09365606307983398,510
0.10073399543762207,510
0.10773181915283203,510
0.11469101905822754,510
0.1215670108795166,510
0.12850594520568848,510
0.13546109199523926,510
0.14240789413452148,510
0.14936280250549316,510
0.15622401237487793,510
0.16314101219177246,510
0.17009878158569336,510
0.17699503898620605,510
0.18392014503479004,511
0.19087600708007812,510
0.19821906089782715,510
0.31499218940734863,509
0.4409799575805664,509
0.5665631294250488,510
0.6871910095214844,509
0.804002046585083,509
0.9229199886322021,509
1.0402748584747314,509
1.1593818664550781,508
1.2819609642028809,508
1.3997831344604492,508
1.519730806350708,509
1.6401920318603516,508
1.7486588954925537,508
1.87400484085083,509
1.9968738555908203,509
2.116262197494507,508
2.2369210720062256,508
2.354749917984009,509
2.475381851196289,508
2.5933220386505127,508
2.714576005935669,509
2.8311269283294678,509
2.9469830989837646,508
3.070333242416382,509
3.1860830783843994,508
3.3098669052124023,509
3.429208993911743,508
3.548825979232788,508
3.6659131050109863,507
3.7842559814453125,509
3.904106855392456,507
4.020806074142456,509
4.145192861557007,509
4.259923934936523,509
4.381748914718628,509
4.498798131942749,509
4.617425203323364,509
4.737597942352295,509
4.858083009719849,509
4.974004030227661,508
5.09697413444519,507
5.217103958129883,508
5.336917877197266,507
5.452113151550293,507
5.572582006454468,508
5.692377090454102,509
5.810838937759399,508
5.925894021987915,508
6.050693988800049,508
6.170975923538208,508
6.291162014007568,508
6.40745210647583,507
6.526983976364136,508
6.64487099647522,508
6.76629900932312,507
6.884029865264893,508
7.0052330493927,509
7.122650146484375,509
7.242722034454346,508
7.361831188201904,506
7.482147932052612,508
7.601996898651123,508
7.717949151992798,508
7.838840007781982,508
7.956390142440796,508
8.075708150863647,508
8.19457197189331,507
8.315824031829834,509
8.433231115341187,507
8.55125904083252,508
8.672412872314453,509
8.788186073303223,507
8.909881114959717,508
9.030951976776123,507
9.149362802505493,507
9.269717931747437,508
9.388679027557373,507
9.506635904312134,508
9.626743078231812,508
9.740393877029419,508
9.86414885520935,507
9.98363208770752,507
10.104243993759155,507
10.21875,507
10.366346836090088,506
10.452479839324951,507
10.579047918319702,507
10.698578834533691,506
10.820214033126831,507
10.932766914367676,507
11.056808948516846,507
11.177927017211914,507
11.294633865356445,506
11.414354085922241,507
11.533738851547241,506
11.654458999633789,504
11.77335000038147,505
11.892403841018677,504
12.007539987564087,504
12.13166618347168,504
12.245757818222046,504
12.35637092590332,505
12.483419179916382,503
12.606734037399292,504
12.723721981048584,504
12.844393968582153,503
12.96381688117981,503
13.082797050476074,503
13.203015804290771,504
13.321621894836426,504
13.442812204360962,503
13.56145715713501,504
13.68128776550293,503
13.799125909805298,503
13.918756008148193,503
14.0378999710083,504
14.158093929290771,503
14.275741815567017,503
14.39461088180542,503
14.512207984924316,503
14.632718086242676,503
14.75287389755249,503
14.868743181228638,503
14.991621017456055,503
15.10721206665039,503
15.229068994522095,502
15.348611116409302,503
15.466969966888428,503
15.583821058273315,503
15.701161861419678,503
15.825981855392456,503
15.94551396369934,504
16.064393997192383,503
16.182262897491455,503
16.301422119140625,503
16.4222571849823,503
16.539623022079468,504
16.66145896911621,503
16.779621124267578,503
16.898571968078613,503
17.017757892608643,504
17.136656999588013,504
17.256893157958984,504
17.37283492088318,503
17.495518922805786,504
17.612875938415527,503
17.733033895492554,503
17.853682041168213,503
17.971401929855347,503
18.094648122787476,504
18.208007097244263,504
18.329848051071167,503
18.448333978652954,503
18.565788984298706,504
18.685418844223022,504
18.805694818496704,504
18.924274921417236,504
19.04460310935974,504
19.165508031845093,504
19.28377890586853,504
19.401970148086548,504
19.523059844970703,503
19.639853954315186,504
19.75769305229187,504
19.8781259059906,504
19.99609112739563,503
20.115960121154785,504
20.237035989761353,503
20.35474705696106,504
20.471027851104736,504
20.595335960388184,504
20.714256048202515,504
20.830374002456665,504
20.951639890670776,503
21.07218599319458,504
21.192198038101196,503
21.30841302871704,504
21.418171167373657,503
21.545430898666382,504
21.66748595237732,503
21.788235902786255,503
21.903717041015625,503
22.022778034210205,503
22.145213842391968,503
22.26316213607788,503
22.38050389289856,504
22.499456882476807,503
22.621263027191162,504
22.738327026367188,504
22.859929084777832,504
22.976133108139038,504
23.09725594520569,504
23.21735119819641,503
23.33691692352295,504
23.456714868545532,503
23.57255792617798,503
23.691877126693726,503
23.81352686882019,504
23.932146787643433,502
24.049997091293335,503
24.169514894485474,503
24.290863037109375,503
24.40954303741455,502
24.52899193763733,502
24.6436710357666,502
24.76697301864624,503
24.88587212562561,502
25.006080865859985,503
25.123939037322998,502
25.24315595626831,503
25.363988876342773,502
25.482727766036987,502
25.601756811141968,502
25.722429037094116,502
25.83835482597351,503
25.957970142364502,503
26.078474044799805,503
26.197956085205078,503
26.31776189804077,502
26.4343159198761,503
26.55687117576599,503
26.672711849212646,503
26.79109501838684,502
26.91253089904785,503
27.031856060028076,503
27.150256156921387,503
27.268928050994873,503
27.389959812164307,503
27.510464906692505,503
27.628021001815796,503
27.748167991638184,503
27.86617398262024,503
27.983067989349365,503
28.103652954101562,503
28.223631143569946,503
28.341015100479126,503
28.45948314666748,503
28.58099102973938,503
28.701372146606445,503
28.820526123046875,503
28.93821096420288,503
29.05702018737793,503
29.17945384979248,504
29.297544956207275,502
29.414045810699463,503
29.536439895629883,504
29.653908014297485,504
29.77656388282776,504
29.888458013534546,503
30.01144289970398,503
30.12899088859558,503
30.250319004058838,504
30.36917018890381,503
30.487290143966675,504
30.60884404182434,504
30.728849172592163,503
30.844938039779663,503
30.965131998062134,504
31.08616018295288,503
31.201220989227295,504
31.324919939041138,504
31.44482707977295,504
31.56205105781555,504
31.681607007980347,504
31.802026987075806,504
31.921588897705078,504
32.03791308403015,504
32.1614830493927,503
32.27573919296265,503
32.39755892753601,503
32.514610052108765,504
32.63695788383484,503
32.75196886062622,503
32.87353491783142,503
32.993377923965454,503
33.11044192314148,504
33.22949504852295,504
33.351709842681885,504
33.46893787384033,504
33.590348958969116,504
33.70973300933838,504
33.82783102989197,505
33.9471869468689,504
34.06618905067444,504
34.18544888496399,503
34.30362105369568,504
34.41952705383301,504
34.54017090797424,504
34.65961289405823,503
34.78088116645813,504
34.898855209350586,504
