Time (s),ADC Value
0.0,768
0.06765484809875488,766
0.07743167877197266,761
0.08698177337646484,766
0.09502387046813965,760
0.10335087776184082,760
0.11184573173522949,760
0.11979079246520996,759
0.12768101692199707,757
0.13592290878295898,756
0.14382266998291016,758
0.15167689323425293,759
0.15933799743652344,758
0.16704368591308594,761
0.1746227741241455,761
0.1823129653930664,760
0.1900467872619629,761
0.19782400131225586,757
0.20538687705993652,758
0.21438002586364746,758
0.23794198036193848,758
0.3576996326446533,760
0.47957682609558105,762
0.6025207042694092,758
0.7197299003601074,756
0.8467888832092285,752
0.9612958431243896,749
1.0890989303588867,749
1.2048988342285156,751
1.326650857925415,751
1.4326987266540527,750
1.548637866973877,749
1.673172950744629,750
1.8034448623657227,747
1.9137699604034424,748
2.0409610271453857,749
2.1501498222351074,749
2.278599739074707,750
2.398037910461426,749
2.519779682159424,748
2.631852626800537,748
2.7540297508239746,746
2.8637168407440186,746
2.982055902481079,745
3.106881856918335,745
3.234470844268799,745
3.346139907836914,744
3.47316575050354,745
3.580538749694824,744
3.7072067260742188,743
3.827039957046509,742
3.9484567642211914,743
4.058226823806763,743
4.184258699417114,741
4.307771921157837,741
4.426928758621216,742
4.54517388343811,742
4.664609909057617,741
4.78097677230835,740
4.902867794036865,740
5.010212659835815,738
5.124943733215332,738
5.247437000274658,737
5.37618088722229,737
5.486908912658691,738
5.61499285697937,738
5.726975917816162,740
5.855661630630493,740
5.974577903747559,740
6.094608783721924,741
6.2059409618377686,741
6.3293297290802,740
6.442514896392822,740
6.57516074180603,740
6.6820149421691895,741
6.805762052536011,741
6.917587995529175,741
7.045901775360107,741
7.1574578285217285,741
7.274230003356934,741
7.392284870147705,740
7.513603687286377,739
7.631775856018066,740
7.756175756454468,739
7.883591890335083,739
8.005074739456177,741
8.119670867919922,742
8.239666938781738,740
8.357186794281006,741
8.475878715515137,740
8.597902774810791,741
8.716164827346802,740
8.828104972839355,741
8.951140880584717,739
9.06177568435669,740
9.180728673934937,740
9.306367874145508,740
9.432844877243042,739
9.540450811386108,739
9.66929578781128,739
9.779338836669922,729
9.900593757629395,728
10.023117780685425,728
10.148401737213135,728
10.281226873397827,728
10.376016855239868,726
10.49354600906372,726
10.624382972717285,728
10.739608764648438,726
10.862744808197021,726
10.979783773422241,726
11.097644805908203,727
11.20902681350708,727
11.330956935882568,725
11.449042797088623,726
11.577287912368774,726
11.686123847961426,727
11.807408809661865,727
11.934640884399414,727
12.057488918304443,727
12.171859979629517,727
12.293592691421509,727
12.412422895431519,728
12.519519805908203,727
12.643556833267212,728
12.765237808227539,729
12.883875846862793,726
13.010056972503662,726
13.124301671981812,725
13.24747085571289,724
13.364259719848633,725
13.486662864685059,724
13.599093914031982,724
13.724572896957397,726
13.832123756408691,725
13.961200714111328,726
14.076647758483887,726
14.200934886932373,726
14.318798780441284,727
14.438342809677124,726
14.55143690109253,725
14.674256801605225,724
14.797622919082642,724
14.915972709655762,724
15.024073839187622,725
15.146287679672241,725
15.260839939117432,725
15.394580841064453,725
15.515528917312622,724
15.616878747940063,724
15.737672805786133,725
15.860873937606812,725
15.986829042434692,725
16.106194972991943,725
16.2256498336792,725
16.34547185897827,724
16.46447467803955,725
16.579763889312744,725
16.70399284362793,725
16.82434892654419,725
16.94021773338318,724
17.050367832183838,724
17.173252820968628,724
17.297913789749146,725
17.420237064361572,724
17.539298057556152,724
17.658576726913452,723
17.76502776145935,725
17.891535758972168,724
18.014659643173218,724
18.135756969451904,724
18.252070903778076,724
18.37259292602539,724
18.481818675994873,724
18.612152814865112,724
18.728718757629395,724
18.849868059158325,724
18.96999192237854,724
19.08431100845337,725
19.203733921051025,724
19.324002742767334,724
19.444647789001465,724
19.565252780914307,724
19.685369729995728,723
19.803459644317627,725
19.92253065109253,724
20.042107820510864,725
20.15700387954712,725
20.279273986816406,725
20.389615774154663,725
20.516844034194946,725
20.635390996932983,724
20.756786823272705,724
20.86943483352661,724
20.99535369873047,723
21.111299753189087,722
21.237584829330444,722
21.353142023086548,723
21.47504472732544,724
21.589866876602173,724
21.710941791534424,723
21.828191995620728,723
21.946974992752075,723
22.067283868789673,723
22.1858868598938,722
22.305959939956665,723
22.423719882965088,723
22.535006999969482,722
22.663240909576416,721
22.774688959121704,721
22.903311729431152,721
23.013776779174805,721
23.14267587661743,721
23.260737895965576,721
23.379679918289185,721
23.497164964675903,721
23.620749711990356,721
23.735389947891235,721
23.85262370109558,721
23.964561939239502,721
24.093133687973022,722
24.210222721099854,720
24.330124855041504,721
24.452391862869263,721
24.572948932647705,721
24.69230580329895,721
24.80871868133545,721
24.929855823516846,721
25.04819679260254,721
25.157522916793823,720
25.287060976028442,722
25.396854877471924,721
25.509578943252563,721
25.631672859191895,721
25.759305953979492,722
25.878017902374268,722
26.00428795814514,722
26.110853910446167,723
26.236146926879883,722
26.353696823120117,722
26.481032848358154,723
26.595953941345215,724
26.711854696273804,722
26.8247549533844,723
26.94977378845215,723
27.075077772140503,723
27.19353985786438,723
27.312971830368042,723
27.424263954162598,723
27.536131858825684,723
27.65852165222168,723
27.781494855880737,723
27.909435749053955,723
28.0277099609375,723
28.14830183982849,723
28.259274005889893,723
28.384262800216675,723
28.49463391304016,724
28.617634057998657,723
28.73786187171936,723
28.8614718914032,723
28.977065801620483,724
29.103347778320312,724
29.218748807907104,724
29.341607809066772,724
29.448166847229004,724
29.563129663467407,724
29.686774015426636,723
29.813570022583008,724
29.933453798294067,723
