Time (s),ADC Value
8.797645568847656e-05,916
0.0646829605102539,946
0.07309794425964355,935
0.08029985427856445,939
0.08747100830078125,936
0.09459686279296875,929
0.10171985626220703,922
0.10874176025390625,931
0.11573600769042969,924
0.12272191047668457,936
0.1297619342803955,950
0.13683485984802246,935
0.1437819004058838,929
0.15079808235168457,926
0.15775680541992188,934
0.16480302810668945,937
0.17183589935302734,937
0.17884492874145508,934
0.18588471412658691,935
0.3029918670654297,937
0.4221029281616211,932
0.5412888526916504,928
0.6607499122619629,928
0.7799179553985596,942
0.89923095703125,936
1.0181758403778076,929
1.1375079154968262,935
1.2566049098968506,920
1.375917911529541,929
1.4949009418487549,931
1.6142897605895996,939
1.733515977859497,943
1.8526649475097656,924
1.971850872039795,935
2.0910699367523193,933
2.2102179527282715,930
2.329511880874634,934
2.4486348628997803,934
2.5677149295806885,929
2.6869728565216064,936
2.8061039447784424,932
2.925435781478882,937
3.0446457862854004,928
3.1636741161346436,928
3.2830188274383545,934
3.402315855026245,937
3.5214288234710693,934
3.6406877040863037,943
3.7598369121551514,937
3.8787739276885986,940
3.997971773147583,935
4.117527008056641,936
4.23665189743042,931
4.355699777603149,934
4.475054979324341,935
4.594114065170288,930
4.713401794433594,931
4.832545042037964,934
4.951847791671753,938
5.070820093154907,932
5.190148115158081,933
5.309203863143921,935
5.4286298751831055,932
5.547874927520752,941
5.667330026626587,884
5.785985946655273,668
5.905385971069336,416
6.024573802947998,332
6.143871784210205,327
6.263142824172974,311
6.382317066192627,285
6.501576900482178,301
6.620754957199097,302
6.739970922470093,285
6.859084844589233,295
6.978385925292969,280
7.097519874572754,283
7.216416835784912,254
7.336021900177002,265
7.455153703689575,251
7.574358940124512,256
7.693325042724609,265
7.8126959800720215,260
7.931875944137573,263
8.051255941390991,262
8.170313835144043,257
8.28963589668274,251
8.408675909042358,244
8.52797794342041,247
8.647217750549316,259
8.766454935073853,252
8.88589096069336,253
9.0049729347229,247
9.124316930770874,246
9.243427991867065,244
9.362590789794922,254
9.481754064559937,273
9.600975036621094,264
9.72012996673584,268
9.839414834976196,275
9.958741903305054,264
10.077799797058105,266
10.197067022323608,266
10.316186666488647,272
10.435528755187988,275
10.554621934890747,269
10.674009084701538,279
10.792911767959595,273
10.91228985786438,269
11.031584978103638,274
11.151022911071777,283
11.269891023635864,276
11.389102935791016,262
11.508370876312256,263
11.62762188911438,270
11.746875762939453,271
11.86610198020935,277
11.985102891921997,268
12.104527711868286,289
12.223555088043213,419
12.342839002609253,744
12.461948871612549,940
12.5812668800354,936
12.700577020645142,929
12.81972599029541,936
12.938959121704102,935
13.058062076568604,928
13.177330732345581,932
13.296489953994751,927
13.415690898895264,936
13.535165786743164,936
13.654042720794678,930
13.773322820663452,928
13.892437934875488,934
14.011798858642578,937
14.130944967269897,937
14.250289916992188,935
14.369373798370361,937
14.488489866256714,934
14.607635974884033,932
14.72699785232544,938
14.846137762069702,939
14.965426921844482,927
15.084714889526367,934
15.20377492904663,941
15.322942972183228,935
15.442209005355835,933
15.561347007751465,929
15.680516004562378,935
15.799697875976562,933
15.91897702217102,937
16.038118839263916,936
16.15736699104309,936
16.27650499343872,934
16.39553189277649,942
16.514932870864868,935
16.634320735931396,925
16.753257989883423,930
16.87255072593689,934
16.99164891242981,935
17.110870838165283,929
17.230095863342285,933
17.349594116210938,933
17.468492031097412,941
17.587692975997925,938
17.707042932510376,934
17.82590103149414,933
17.945161819458008,936
18.064368724822998,933
18.183289766311646,938
18.302902936935425,939
18.421929836273193,929
18.541260957717896,937
18.660517692565918,938
18.779670000076294,934
18.898825883865356,939
19.018244743347168,931
19.13705587387085,940
19.25643491744995,930
19.37553095817566,938
19.494868993759155,945
19.61405086517334,932
19.73340106010437,946
19.85228180885315,942
19.97162890434265,946
20.090991020202637,940
20.210014820098877,941
20.328845977783203,943
20.448485851287842,942
20.567626953125,942
20.686840057373047,941
20.8060200214386,932
20.9253089427948,938
21.044256925582886,940
21.16369390487671,947
21.282837867736816,939
21.401994943618774,937
21.52118492126465,930
21.640464782714844,938
21.759655952453613,938
21.878845930099487,938
21.998066902160645,940
22.117459774017334,938
22.236527681350708,940
22.35569190979004,943
22.4748477935791,938
22.594146013259888,941
22.713155031204224,944
22.83242702484131,942
22.95156502723694,929
23.070918798446655,931
23.189905881881714,943
23.309322834014893,937
23.428494930267334,939
23.547616958618164,946
23.667025804519653,938
23.78608989715576,941
23.905110836029053,952
24.024534940719604,934
24.14369511604309,930
24.26284384727478,942
24.38211178779602,942
24.5012526512146,940
24.62042474746704,939
24.73969578742981,941
24.858823776245117,935
24.978044748306274,942
25.09713387489319,943
25.216489791870117,939
25.335709810256958,958
25.454798936843872,937
25.573986053466797,940
25.693220853805542,938
25.81231188774109,948
25.93163800239563,940
26.05112600326538,938
26.169960975646973,945
26.289090871810913,935
26.408381938934326,939
26.527451753616333,955
26.64679789543152,945
26.768037796020508,941
26.884914875030518,940
27.00412678718567,947
27.123185873031616,929
27.242589950561523,939
27.361896753311157,938
27.481257915496826,935
27.600247859954834,941
27.719451904296875,933
27.838681936264038,943
27.957978010177612,936
28.07702088356018,956
28.19627285003662,936
28.315404891967773,942
28.43470788002014,940
28.553876876831055,942
28.672838926315308,949
28.79226064682007,940
28.911298036575317,943
29.03061294555664,929
29.14982795715332,935
29.269134998321533,940
29.388033866882324,927
29.50728178024292,935
29.626495838165283,941
29.74544405937195,952
29.864989757537842,944
29.984376907348633,944
30.103130102157593,939
30.222566843032837,926
30.341590881347656,942
30.460875988006592,925
30.580150842666626,932
30.699314832687378,933
30.81829285621643,941
30.937788724899292,946
31.05673384666443,939
31.176021814346313,940
31.29514169692993,933
31.41444492340088,936
31.533618927001953,937
31.65288496017456,931
31.77190089225769,943
31.891135931015015,935
32.01011085510254,941
32.12954497337341,946
32.24870276451111,940
32.36797595024109,942
32.48686480522156,940
32.60594582557678,940
32.72532773017883,939
32.84458899497986,940
32.963645935058594,940
33.08324885368347,939
33.20209574699402,940
33.3215708732605,939
33.440643072128296,940
33.55973696708679,940
33.678910970687866,940
33.79816484451294,940
33.917404890060425,940
34.03659987449646,940
34.15571975708008,940
34.27509093284607,940
34.394118785858154,940
34.513439893722534,940
34.63271188735962,940
34.754098892211914,940
34.87100386619568,940
34.99028992652893,940
35.10941791534424,940
35.228723764419556,940
35.34788703918457,940
35.467355728149414,940
35.58624196052551,940
35.705601930618286,940
35.824503898620605,940
35.9439058303833,940
36.062999963760376,940
36.18239378929138,940
36.301506996154785,940
36.420851945877075,940
36.53962993621826,940
36.65888786315918,940
36.77838087081909,940
36.89754009246826,940
37.01643371582031,940
37.135777950286865,940
37.25501585006714,940
37.374281883239746,940
37.49342370033264,940
37.612687826156616,940
37.73176074028015,940
37.85114073753357,940
37.97016978263855,939
38.08942198753357,940
38.2085747718811,940
38.32787871360779,940
38.44701385498047,940
38.56636691093445,940
38.68541383743286,940
38.80462193489075,940
38.92387080192566,940
39.043041944503784,940
39.16206693649292,940
39.28139281272888,940
39.400723934173584,940
39.51963782310486,940
39.638890981674194,940
39.75815391540527,940
39.877354860305786,940
39.99661993980408,940
40.115752935409546,940
40.23490786552429,940
40.35403275489807,940
40.4733407497406,940
40.59235095977783,940
40.71175289154053,940
40.830726861953735,940
40.950068950653076,940
41.06919288635254,940
41.188482999801636,940
41.30759906768799,940
41.42687487602234,940
41.546079874038696,940
41.665188789367676,940
41.78443884849548,940
41.903594970703125,940
42.02283692359924,940
42.14199090003967,940
42.26117491722107,940
42.38035202026367,940
42.499791860580444,940
42.61872887611389,940
42.73775792121887,940
42.85705590248108,940
42.97630572319031,940
43.0952570438385,940
43.21459078788757,940
43.33414888381958,940
43.4529767036438,940
43.57215690612793,940
43.69142699241638,940
43.81058883666992,940
43.929566860198975,940
44.04891800880432,940
44.168107986450195,940
44.287285804748535,940
44.40664792060852,940
44.525691747665405,940
44.644665002822876,940
44.76407289505005,940
44.883166790008545,940
45.00240683555603,940
45.121492862701416,940
45.24083590507507,940
45.35990285873413,940
45.479238748550415,940
45.598384857177734,940
45.71758580207825,940
45.836649894714355,940
45.95595383644104,940
46.07490873336792,940
46.19440484046936,940
46.31354475021362,939
46.43268871307373,940
46.55193591117859,940
46.67107081413269,940
46.79018688201904,940
46.9094398021698,940
47.02843379974365,940
47.1477108001709,940
47.267021894454956,940
47.38598394393921,939
47.50521993637085,939
47.62454390525818,940
47.74353885650635,940
47.86286473274231,940
47.98214387893677,940
48.10123586654663,939
48.220372915267944,939
48.339701890945435,940
48.45852494239807,940
48.57777500152588,940
48.697152853012085,940
48.816290855407715,940
48.93563890457153,940
49.05482792854309,940
49.17397975921631,940
49.29312467575073,940
49.412367820739746,940
49.531501054763794,940
