Time (s),ADC Value
0.0,943
0.06777811050415039,933
0.07682204246520996,938
0.08511018753051758,941
0.09219622611999512,942
0.09918904304504395,938
0.1062171459197998,934
0.11316823959350586,941
0.12009716033935547,935
0.1270153522491455,947
0.1339740753173828,945
0.1408851146697998,939
0.14778923988342285,933
0.15474510192871094,941
0.16168498992919922,943
0.16860699653625488,938
0.17551827430725098,942
0.18238329887390137,942
0.18939805030822754,940
0.19631719589233398,948
0.23096227645874023,941
0.35443711280822754,939
0.4809591770172119,936
0.6063201427459717,942
0.7243740558624268,946
0.8432950973510742,941
0.9625799655914307,942
1.0806992053985596,943
1.202836036682129,934
1.3176193237304688,942
1.4377191066741943,942
1.5584652423858643,948
1.6758043766021729,941
1.7968151569366455,941
1.9166133403778076,943
2.0353071689605713,935
2.155916213989258,942
2.272170066833496,950
2.3915891647338867,943
2.5073883533477783,941
2.629845142364502,937
2.7515361309051514,942
2.870443105697632,942
2.9912941455841064,941
3.1028101444244385,942
3.2283272743225098,934
3.3455862998962402,943
3.467125177383423,943
3.586078405380249,938
3.7033331394195557,942
3.8221383094787598,949
3.941826105117798,940
4.059777021408081,942
4.179998397827148,942
4.3013811111450195,945
4.418691158294678,942
4.537924289703369,942
4.658693313598633,946
4.77803111076355,950
4.898531198501587,942
5.015423059463501,938
5.13495397567749,933
5.254339218139648,942
5.373984098434448,937
5.493804216384888,941
5.611555099487305,942
5.72946310043335,943
5.848278045654297,944
5.969773054122925,942
6.087705135345459,942
6.207020044326782,942
6.328604221343994,937
6.445552110671997,942
6.568315267562866,930
6.683221101760864,938
6.804723262786865,942
6.925432205200195,958
7.041306257247925,944
7.1613991260528564,942
7.282433032989502,937
7.399312257766724,949
7.51897406578064,942
7.64015531539917,942
7.760022163391113,954
7.879444122314453,940
7.997452020645142,942
8.115626096725464,935
8.233453273773193,943
8.354550123214722,942
8.471545219421387,948
8.591240406036377,941
8.710853338241577,942
8.830384254455566,937
8.948537111282349,940
9.068631172180176,942
9.188360214233398,942
9.305459260940552,925
9.42445421218872,942
9.54416012763977,941
9.665293216705322,941
9.783642292022705,942
9.904041051864624,941
