Time (s),ADC Value
9.5367431640625e-07,940
0.06599283218383789,946
0.07600903511047363,947
0.08478593826293945,939
0.09347677230834961,946
0.10209989547729492,946
0.11069989204406738,946
0.11927485466003418,945
0.12785696983337402,946
0.13652896881103516,946
0.1451430320739746,960
0.15372705459594727,946
0.16270685195922852,943
0.17162799835205078,945
0.18060994148254395,946
0.18956899642944336,941
0.19852495193481445,946
0.2074429988861084,947
0.21739792823791504,946
0.2271728515625,946
0.2465059757232666,943
0.367171049118042,946
0.49082493782043457,946
0.6197929382324219,957
0.7395708560943604,946
0.856090784072876,945
0.972952127456665,945
1.0965309143066406,945
1.216278076171875,942
1.3355519771575928,955
1.4528419971466064,946
1.5709969997406006,945
1.691985845565796,956
1.8109188079833984,926
1.9292569160461426,946
2.049549102783203,937
2.168933868408203,943
2.2884459495544434,946
2.406137704849243,956
2.5270237922668457,946
2.6459970474243164,946
2.7646970748901367,946
2.88552188873291,944
3.0056939125061035,937
3.1234538555145264,946
3.2423880100250244,946
3.361801862716675,915
3.4781057834625244,946
3.600473165512085,937
3.7157859802246094,940
3.83734393119812,946
3.954598903656006,948
4.074137926101685,951
4.192293882369995,946
4.312406063079834,946
4.430248975753784,945
4.55391788482666,948
4.670554876327515,946
4.7879478931427,957
4.910443067550659,946
5.029637813568115,946
5.15006685256958,946
5.2683799266815186,947
5.385727882385254,946
5.503756046295166,946
5.625882863998413,945
5.74472975730896,940
5.864113807678223,945
5.983983755111694,943
6.101776838302612,945
6.222649097442627,946
6.3419508934021,943
6.458897829055786,944
6.578747987747192,946
6.699052095413208,938
6.815910816192627,925
6.938384771347046,946
7.052180051803589,947
7.173245906829834,946
7.29695200920105,945
7.413881063461304,934
7.536987781524658,946
7.655144929885864,943
7.770554780960083,946
7.891628980636597,946
8.007928133010864,950
8.126674890518188,945
8.247087955474854,945
8.366515874862671,946
8.484890937805176,937
8.606474876403809,946
8.720629930496216,948
8.842314958572388,944
8.960865020751953,945
9.081936836242676,944
9.2013099193573,956
9.318792819976807,945
9.439849853515625,946
9.556833982467651,955
9.675436973571777,948
9.798686027526855,946
9.914423942565918,944
