Time (s),ADC Value
0.0,478
0.06024789810180664,479
0.0688169002532959,475
0.07641005516052246,481
0.08473396301269531,471
0.09218001365661621,472
0.09938287734985352,474
0.10705900192260742,473
0.11458086967468262,469
0.12175893783569336,475
0.12874889373779297,473
0.13571500778198242,470
0.14265894889831543,475
0.14957094192504883,478
0.15651392936706543,472
0.16342711448669434,473
0.17026305198669434,474
0.17715191841125488,478
0.1840219497680664,471
0.19090795516967773,473
0.23542404174804688,473
0.35945606231689453,471
0.48393893241882324,475
0.6078987121582031,474
0.7265970706939697,472
0.8484790325164795,472
0.9645957946777344,469
1.0851330757141113,472
1.20597505569458,484
1.325134038925171,475
1.442706823348999,481
1.561194896697998,472
1.681959867477417,475
1.8019587993621826,473
1.9167590141296387,476
2.0388519763946533,470
2.157762050628662,472
2.2780048847198486,463
2.39815092086792,470
2.518033981323242,462
2.6364669799804688,467
2.7548229694366455,470
2.874721050262451,466
2.9940600395202637,472
3.11360502243042,469
3.2307770252227783,470
3.3511810302734375,465
3.4693098068237305,461
3.5911779403686523,461
3.7075610160827637,464
3.827306032180786,463
3.945556879043579,463
4.063638925552368,462
4.184664964675903,461
4.305543899536133,451
4.423418760299683,464
4.542174816131592,462
4.661823987960815,462
4.781122922897339,466
4.899653911590576,464
5.0168609619140625,461
5.139293909072876,468
5.259253978729248,463
5.376489877700806,471
5.491986989974976,470
5.614964008331299,468
5.734310865402222,470
5.851969003677368,465
5.973314046859741,473
6.0897228717803955,469
6.212090730667114,472
6.332472085952759,469
6.4513630867004395,465
6.568617820739746,465
6.686917781829834,463
6.8051979541778564,463
6.9249961376190186,467
7.046725749969482,470
7.166275978088379,463
7.2868311405181885,467
7.4048378467559814,469
7.519060850143433,456
7.642960786819458,464
7.762350082397461,464
7.879727125167847,467
8.002098798751831,466
8.115103960037231,467
8.236993074417114,464
8.357725858688354,473
8.475064992904663,464
8.593358039855957,469
8.714231967926025,462
8.833327770233154,464
8.951174974441528,463
9.072283744812012,466
9.191554069519043,461
9.310045957565308,463
9.429686069488525,458
9.54985499382019,463
9.669156074523926,461
9.788064956665039,461
9.90683388710022,462
