Time (s),Sensor Value
9.226799011230469e-05,877
0.009520292282104492,880
0.018989086151123047,871
0.026369094848632812,876
0.033460140228271484,880
0.0403902530670166,869
0.04739212989807129,875
0.05423998832702637,879
0.061192989349365234,878
0.06811118125915527,873
0.07507824897766113,876
0.08204817771911621,879
0.08890438079833984,875
0.0958709716796875,874
0.10280323028564453,882
0.10967326164245605,873
0.11651206016540527,873
0.12343239784240723,894
0.1303412914276123,867
0.20261025428771973,880
0.3217921257019043,873
0.44094109535217285,865
0.5601632595062256,875
0.6793231964111328,878
0.7984960079193115,906
0.9177331924438477,878
1.0369091033935547,869
1.1560602188110352,880
1.2753102779388428,882
1.394458293914795,879
1.5136072635650635,882
1.6328861713409424,899
1.7520182132720947,876
1.8711552619934082,895
1.990408182144165,879
2.109532356262207,876
2.2286903858184814,873
2.347963333129883,863
2.4671061038970947,876
2.5862033367156982,875
2.7055282592773438,872
2.8246572017669678,870
2.9438722133636475,872
3.0630991458892822,882
3.182223081588745,856
3.3013360500335693,565
3.420645236968994,284
3.539790153503418,183
3.658884286880493,154
3.778193235397339,139
3.8973491191864014,132
4.016498327255249,123
4.1357550621032715,131
4.254928112030029,113
4.37409520149231,101
4.492178201675415,97
4.610428333282471,86
4.728650093078613,96
4.846880197525024,82
4.9649553298950195,96
5.083207368850708,99
5.2013890743255615,88
5.319636106491089,96
5.437744140625,93
5.5559983253479,97
5.674184322357178,97
5.792421102523804,93
5.91053318977356,94
6.0287721157073975,89
6.1470232009887695,93
6.265111207962036,95
6.383336305618286,96
6.501562118530273,98
6.620872974395752,118
6.740008354187012,144
6.8591742515563965,222
6.978445053100586,312
7.09755539894104,424
7.216768026351929,446
7.336039304733276,596
7.455188035964966,613
7.574353218078613,693
7.693631172180176,704
7.812786340713501,774
7.931925058364868,833
8.051175355911255,896
8.170321226119995,887
8.289490222930908,919
8.408726215362549,912
8.527880191802979,861
8.647033214569092,854
8.766313314437866,955
8.885431051254272,917
9.004573345184326,946
9.123866319656372,949
9.242952346801758,943
9.362119197845459,936
9.481325149536133,883
9.600495100021362,820
9.71966004371643,505
9.838899374008179,421
9.958117246627808,365
10.07726526260376,329
10.196413278579712,305
10.315672159194946,290
10.434873104095459,255
10.553951978683472,239
10.673201322555542,252
10.792352199554443,236
10.911494255065918,223
11.030768156051636,256
11.149899005889893,383
11.269047021865845,734
11.38830018043518,813
11.507431268692017,848
11.626613140106201,888
11.74588418006897,937
11.864964246749878,901
11.984155178070068,931
12.10340142250061,939
12.222531080245972,936
12.341639280319214,945
12.460920095443726,944
12.580089092254639,931
12.699238300323486,938
12.818477153778076,941
12.937624216079712,945
13.056871175765991,940
13.176045179367065,945
13.295120239257812,933
13.414340257644653,928
13.53360104560852,939
13.65273118019104,944
13.77188515663147,942
13.891155242919922,941
14.010281324386597,929
14.129454135894775,884
14.248699188232422,898
14.367846250534058,943
14.486956119537354,946
14.606244087219238,934
14.725318193435669,936
14.844526290893555,947
14.963808059692383,936
15.08291220664978,935
15.202057123184204,932
15.321307182312012,941
15.440463304519653,939
15.559621095657349,944
15.678848028182983,951
15.798011302947998,930
15.917110204696655,940
16.036384105682373,927
16.15547800064087,944
16.27465510368347,938
16.39390730857849,926
16.51305317878723,941
16.632190227508545,937
16.751447200775146,947
16.870594024658203,936
16.989748001098633,941
17.10899019241333,938
17.2281551361084,949
17.347248315811157,941
17.466552257537842,947
17.585710287094116,943
17.704840183258057,944
17.824113130569458,952
17.94326400756836,937
18.06241202354431,944
18.181668281555176,941
18.300833225250244,938
18.419974327087402,943
18.539119243621826,936
18.658371210098267,946
18.777522325515747,950
18.896706104278564,938
19.015949249267578,932
19.135115146636963,944
19.254252195358276,936
19.37352705001831,937
19.492645263671875,941
19.611834287643433,943
19.731057167053223,917
19.850266218185425,930
19.969401121139526,940
20.08864116668701,928
20.207832098007202,939
20.326943159103394,948
20.44615602493286,936
20.565365076065063,947
20.684478998184204,903
20.803837299346924,885
20.922898292541504,845
21.04204225540161,798
21.16129994392395,783
21.28044629096985,773
21.399580240249634,764
21.518839120864868,768
21.637967109680176,819
21.757143020629883,847
21.87638521194458,893
21.995530128479004,846
22.114619255065918,885
22.233895301818848,876
22.353079080581665,850
22.472248077392578,861
22.591483116149902,838
22.710660219192505,739
22.829822301864624,848
22.949105262756348,846
23.068233966827393,828
23.187405109405518,785
23.306634187698364,779
23.42583918571472,786
23.544997215270996,766
23.66425609588623,784
23.78341507911682,774
23.90260934829712,768
24.021841287612915,779
24.141045093536377,778
24.260186195373535,779
24.37946319580078,775
24.498640298843384,772
24.617822408676147,781
24.737109184265137,752
24.856321096420288,763
24.975420236587524,758
25.094760179519653,754
25.2138671875,732
25.333086252212524,762
25.452344179153442,744
25.57154107093811,763
25.690689086914062,734
25.80997610092163,744
25.929163217544556,751
26.048333168029785,761
26.16760516166687,761
26.286818027496338,755
26.4059100151062,757
26.52523112297058,765
26.64440131187439,745
26.763573169708252,723
26.88286328315735,723
27.002012252807617,751
27.121190309524536,757
27.2403781414032,772
27.359649181365967,750
27.478814363479614,755
27.597955226898193,762
27.71726417541504,742
27.83643913269043,787
27.95562434196472,787
28.07485318183899,892
28.194059133529663,942
28.313228130340576,945
28.43249201774597,936
28.551658153533936,942
28.67082905769348,936
28.790122985839844,932
28.909278392791748,940
29.028449058532715,938
29.14771318435669,951
29.26686429977417,940
29.38603711128235,933
29.505331993103027,935
29.624495267868042,940
29.743637084960938,943
29.86290407180786,947
29.982076168060303,939
30.10124111175537,944
30.22046208381653,945
30.339662075042725,958
30.458858013153076,927
30.57813811302185,949
30.69728422164917,957
30.816461086273193,938
30.93579912185669,936
31.054856300354004,934
31.174042224884033,919
31.293285131454468,946
31.41245722770691,947
31.531599283218384,941
31.65086531639099,929
31.770016193389893,947
31.889227151870728,944
32.008480072021484,956
32.1276433467865,947
32.24681806564331,939
32.36609625816345,940
32.48524713516235,965
32.604411125183105,948
32.72364902496338,944
32.842833280563354,940
32.96198129653931,946
33.0812132358551,936
33.200414419174194,946
33.319568157196045,947
33.438841104507446,936
33.557985067367554,941
33.67717504501343,943
33.796412229537964,941
33.91560411453247,930
34.03474831581116,953
34.15399718284607,933
34.27318239212036,939
34.39235210418701,948
34.51162600517273,945
34.63077139854431,946
34.74995422363281,938
34.869211196899414,944
34.9883451461792,936
35.10755205154419,942
35.226802349090576,932
35.34596514701843,940
35.465102195739746,937
35.58437728881836,949
35.703492164611816,935
35.82280230522156,940
35.9418511390686,936
36.06112217903137,953
36.18023610115051,951
36.29943609237671,931
36.418774127960205,945
36.53785419464111,933
36.65704011917114,945
36.77632522583008,949
36.89545226097107,935
37.01460814476013,943
37.13389229774475,946
37.25304913520813,935
37.37219715118408,935
37.49147009849548,911
37.610610246658325,930
37.72979402542114,939
37.84899616241455,959
37.968223094940186,932
38.08737826347351,943
38.20664119720459,954
38.325801372528076,933
38.44494318962097,945
38.56416320800781,936
38.68337821960449,949
38.80254006385803,863
38.92180824279785,872
39.040966272354126,855
39.160147190093994,856
39.27935528755188,841
39.39855623245239,858
39.51772332191467,864
39.636972188949585,841
39.75611114501953,862
39.87528920173645,868
39.99454617500305,864
40.11376428604126,870
40.23287034034729,857
40.35216212272644,857
40.4713191986084,863
40.59047031402588,870
40.7097532749176,858
40.82890224456787,854
40.948023080825806,867
41.06733012199402,864
41.18647623062134,845
41.30565929412842,865
41.42493009567261,864
41.544103145599365,865
41.66323113441467,932
41.78254723548889,933
41.90176320075989,937
42.020899057388306,936
42.14017629623413,952
42.25933218002319,936
42.37849712371826,938
42.49775528907776,948
42.616929054260254,941
42.73612904548645,938
42.855393171310425,940
42.974568367004395,945
43.09375524520874,944
43.21300029754639,938
43.332154273986816,950
43.451303243637085,935
43.57058930397034,933
43.68975615501404,933
43.80892014503479,938
43.92818212509155,943
44.04730439186096,924
44.16650915145874,934
44.28572702407837,921
44.40491223335266,928
44.524068117141724,853
44.64334321022034,809
44.762503147125244,843
44.881672382354736,775
45.00082302093506,776
45.12009119987488,856
45.2392303943634,846
45.35841917991638,842
45.477739095687866,805
45.59682011604309,794
45.71600317955017,797
45.83529329299927,795
45.95443511009216,794
46.073631048202515,796
46.192880153656006,781
46.31206822395325,784
46.43118906021118,787
46.55046606063843,790
46.66975116729736,792
46.78883099555969,792
46.90807604789734,781
47.027251958847046,783
47.14638638496399,788
47.26575827598572,780
47.38480830192566,787
47.50396537780762,777
47.62322115898132,786
47.742425203323364,792
47.86156415939331,788
47.980857133865356,772
48.09999418258667,777
48.21918225288391,784
48.33842420578003,783
48.45760726928711,760
48.576760053634644,775
48.69601821899414,780
48.81516909599304,806
48.93434429168701,766
49.05357813835144,776
49.172752141952515,779
49.29190421104431,770
49.41119837760925,780
49.530288219451904,773
49.64948916435242,778
49.76872515678406,790
49.887930154800415,772
50.00709128379822,777
50.12635540962219,761
50.245511293411255,756
50.364745140075684,759
50.4839141368866,769
50.60310125350952,784
50.72227716445923,881
50.84156322479248,858
50.960721254348755,945
51.079891204833984,932
51.19913339614868,940
51.318305015563965,931
51.43748712539673,944
51.55676221847534,941
51.67585825920105,962
51.79506206512451,921
51.91432237625122,933
52.03347420692444,932
52.152727127075195,945
52.27192401885986,935
52.39106726646423,946
52.51023626327515,945
52.62946009635925,953
52.748730182647705,944
52.86778926849365,930
52.98705220222473,940
53.106205224990845,944
53.22535514831543,945
53.344611167907715,940
53.46380019187927,944
53.582942962646484,944
53.702152967453,951
53.82135319709778,931
53.94054412841797,944
54.05972218513489,950
54.17897701263428,936
54.298097133636475,947
54.41727018356323,935
54.53652620315552,948
54.65572142601013,953
54.77485918998718,946
54.89413619041443,938
55.01323437690735,943
55.13243913650513,946
55.25174021720886,935
55.37086796760559,939
55.49002122879028,934
55.609249114990234,945
55.728416204452515,930
55.84757614135742,940
55.96685814857483,943
