ReadID,PartialType
240_Z2SFTS_1,partial_P5
241_Z2SFTS_1,partial_P5
244_Z2SFTS_1,partial_P5
245_Z2SFTS_1,partial_P5
246_Z2SFTS_1,partial_P5
247_Z2SFTS_1,partial_P5
248_Z2SFTS_1,partial_P5
249_Z2SFTS_1,partial_P5
250_Z2SFTS_1,partial_P5
251_Z2SFTS_1,partial_P5
252_Z2SFTS_1,partial_P5
254_Z2SFTS_1,partial_P7
255_Z2SFTS_1,partial_P7
256_Z2SFTS_1,partial_P7
257_Z2SFTS_1,partial_P5
258_Z2SFTS_1,partial_P7
259_Z2SFTS_1,partial_P5
260_Z2SFTS_1,partial_P5
262_Z2SFTS_1,partial_P5
265_Z2SFTS_1,partial_P7
266_Z2SFTS_1,partial_P5
267_Z2SFTS_1,partial_P5
268_Z2SFTS_1,partial_P5
269_Z2SFTS_1,partial_P5
270_Z2SFTS_1,partial_P5
271_Z2SFTS_1,partial_P5
272_Z2SFTS_1,partial_P5
273_Z2SFTS_1,partial_P5
274_Z2SFTS_1,partial_P5
275_Z2SFTS_1,partial_P5
276_Z2SFTS_1,partial_P5
278_Z2SFTS_1,partial_P5
279_Z2SFTS_1,partial_P5
280_Z2SFTS_1,partial_P7
281_Z2SFTS_1,partial_P5
282_Z2SFTS_1,partial_P5
283_Z2SFTS_1,partial_P5
285_Z2SFTS_1,partial_P5
286_Z2SFTS_1,partial_P5
287_Z2SFTS_1,partial_P5
288_Z2SFTS_1,partial_P7
289_Z2SFTS_1,partial_P5
292_Z2SFTS_1,partial_P5
294_Z2SFTS_1,partial_P5
295_Z2SFTS_1,partial_P7
296_Z2SFTS_1,partial_P5
297_Z2SFTS_1,partial_P7
298_Z2SFTS_1,partial_P5
299_Z2SFTS_1,partial_P5
300_Z2SFTS_1,partial_P5
301_Z2SFTS_1,partial_P7
302_Z2SFTS_1,partial_P5
303_Z2SFTS_1,partial_P5
305_Z2SFTS_1,partial_P5
306_Z2SFTS_1,partial_P5
307_Z2SFTS_1,partial_P5
308_Z2SFTS_1,partial_P5
309_Z2SFTS_1,partial_P5
311_Z2SFTS_1,partial_P5
312_Z2SFTS_1,partial_P5
313_Z2SFTS_1,partial_P5
315_Z2SFTS_1,partial_P7
316_Z2SFTS_1,partial_P5
317_Z2SFTS_1,partial_P7
318_Z2SFTS_1,partial_P7
320_Z2SFTS_1,partial_P5
321_Z2SFTS_1,partial_P5
322_Z2SFTS_1,partial_P7
323_Z2SFTS_1,partial_P7
324_Z2SFTS_1,partial_P5
325_Z2SFTS_1,partial_P5
326_Z2SFTS_1,partial_P7
328_Z2SFTS_1,partial_P5
329_Z2SFTS_1,partial_P5
332_Z2SFTS_1,partial_P5
334_Z2SFTS_1,partial_P5
335_Z2SFTS_1,partial_P5
337_Z2SFTS_1,partial_P5
338_Z2SFTS_1,partial_P5
339_Z2SFTS_1,partial_P5
340_Z2SFTS_1,partial_P5
341_Z2SFTS_1,both_partial
342_Z2SFTS_1,partial_P7
343_Z2SFTS_1,partial_P5
344_Z2SFTS_1,partial_P5
345_Z2SFTS_1,partial_P5
346_Z2SFTS_1,partial_P5
348_Z2SFTS_1,partial_P5
350_Z2SFTS_1,partial_P5
351_Z2SFTS_1,partial_P7
352_Z2SFTS_1,partial_P7
353_Z2SFTS_1,partial_P5
354_Z2SFTS_1,partial_P5
355_Z2SFTS_1,partial_P5
356_Z2SFTS_1,partial_P5
357_Z2SFTS_1,partial_P5
358_Z2SFTS_1,partial_P7
360_Z2SFTS_1,partial_P7
361_Z2SFTS_1,partial_P7
363_Z2SFTS_1,partial_P5
364_Z2SFTS_1,partial_P5
366_Z2SFTS_1,partial_P5
368_Z2SFTS_1,partial_P5
369_Z2SFTS_1,partial_P5
370_Z2SFTS_1,partial_P5
372_Z2SFTS_1,partial_P7
373_Z2SFTS_1,partial_P5
374_Z2SFTS_1,partial_P5
375_Z2SFTS_1,partial_P5
376_Z2SFTS_1,partial_P5
377_Z2SFTS_1,partial_P5
378_Z2SFTS_1,partial_P5
379_Z2SFTS_1,partial_P5
380_Z2SFTS_1,partial_P7
381_Z2SFTS_1,partial_P5
382_Z2SFTS_1,partial_P5
383_Z2SFTS_1,partial_P5
384_Z2SFTS_1,partial_P7
385_Z2SFTS_1,partial_P5
386_Z2SFTS_1,partial_P5
387_Z2SFTS_1,partial_P7
388_Z2SFTS_1,partial_P5
389_Z2SFTS_1,partial_P7
390_Z2SFTS_1,partial_P5
391_Z2SFTS_1,partial_P5
392_Z2SFTS_1,partial_P5
