Time (s),ADC
0.00010609626770019531,941
0.00840306282043457,941
0.01576709747314453,941
0.022706985473632812,941
0.02956080436706543,941
0.03599810600280762,941
0.042366981506347656,941
0.04831123352050781,941
0.054244041442871094,941
0.060076236724853516,941
0.06593704223632812,941
0.07185006141662598,941
0.07780098915100098,941
0.08370208740234375,941
0.0896148681640625,941
0.09551000595092773,941
0.10140490531921387,941
0.1073150634765625,941
0.11323189735412598,941
0.11913084983825684,941
0.1250760555267334,941
0.13104605674743652,941
0.13696599006652832,941
0.14284491539001465,941
0.14872503280639648,942
0.15467023849487305,942
0.1605992317199707,941
0.16652202606201172,941
0.17242813110351562,941
0.17833614349365234,941
0.18423724174499512,941
0.1901531219482422,941
0.19685101509094238,941
0.2032630443572998,941
0.20969700813293457,941
0.21584391593933105,941
0.22203612327575684,941
0.22819995880126953,941
0.23435306549072266,941
0.24048399925231934,941
0.246628999710083,941
0.2527480125427246,941
0.2588820457458496,941
0.26497793197631836,941
0.2711009979248047,941
0.2772860527038574,941
0.2834651470184326,941
0.2895650863647461,941
0.29572606086730957,941
0.3018040657043457,941
0.30788516998291016,941
0.3139662742614746,941
0.3200671672821045,941
0.32622599601745605,941
0.33242106437683105,941
0.3385460376739502,941
0.3446989059448242,941
0.3508460521697998,941
0.3570220470428467,941
0.3631730079650879,941
0.3693389892578125,941
0.37549710273742676,941
0.3816640377044678,941
0.38785600662231445,941
0.39405107498168945,941
0.4002509117126465,941
0.40643787384033203,941
0.41324400901794434,941
0.4195542335510254,941
0.42574596405029297,941
0.43192100524902344,941
0.43810486793518066,941
0.44423604011535645,941
0.450451135635376,941
0.4565739631652832,941
0.46271204948425293,941
0.46882104873657227,942
0.47495603561401367,944
0.48105597496032715,898
0.4871392250061035,815
0.4932520389556885,757
0.49936795234680176,752
0.5055270195007324,742
0.5116901397705078,743
0.5177919864654541,694
0.5238921642303467,703
0.530083179473877,735
0.5361831188201904,764
0.5422601699829102,755
0.54836106300354,745
0.5544641017913818,729
0.5605630874633789,727
0.566749095916748,719
0.5731410980224609,723
0.5792531967163086,716
0.5853681564331055,758
0.5914740562438965,757
0.5975971221923828,750
0.6036958694458008,935
0.6098120212554932,772
0.616002082824707,796
0.6223540306091309,940
0.6285099983215332,942
0.6346540451049805,942
0.6408660411834717,942
0.647104024887085,942
0.6533451080322266,942
0.6595640182495117,942
0.6658229827880859,942
0.6720941066741943,942
0.6783480644226074,942
0.6846020221710205,942
0.6908869743347168,942
0.697166919708252,942
0.7040700912475586,942
0.7103030681610107,942
0.716637134552002,942
0.7229530811309814,944
0.7290692329406738,878
0.7351119518280029,880
0.7411630153656006,872
0.7472600936889648,862
0.7533020973205566,841
0.7593090534210205,853
0.7653191089630127,893
0.7713658809661865,877
0.7773740291595459,877
0.7833921909332275,884
0.7894279956817627,878
0.7954230308532715,882
0.8014228343963623,875
0.8074371814727783,898
0.8134701251983643,868
0.819465160369873,858
0.8254668712615967,832
0.8320798873901367,866
0.8383491039276123,839
0.8445079326629639,872
0.8506851196289062,878
0.8568470478057861,874
0.8630349636077881,870
0.8691940307617188,864
0.8753249645233154,862
0.8815021514892578,861
0.8876721858978271,862
0.8938009738922119,882
0.8999271392822266,836
0.9060781002044678,838
0.9122819900512695,830
0.9184310436248779,839
0.9245409965515137,840
0.9307029247283936,836
0.9368200302124023,833
0.9429562091827393,849
0.9490871429443359,818
0.9552500247955322,818
0.961392879486084,815
0.9675500392913818,816
0.9737300872802734,818
0.979870080947876,819
0.9860072135925293,815
0.9921300411224365,817
0.9983041286468506,817
1.0044848918914795,815
1.0106399059295654,814
1.0167958736419678,814
1.022939920425415,819
1.0291121006011963,820
1.0354859828948975,817
1.0416340827941895,822
1.0477871894836426,808
1.054034948348999,817
1.0602068901062012,819
1.066396951675415,819
1.0728678703308105,813
1.079038143157959,825
1.085111141204834,820
1.0911130905151367,820
1.097161054611206,831
1.1031718254089355,827
1.109161138534546,825
1.1151340007781982,828
1.1211421489715576,820
1.1271638870239258,827
1.1332361698150635,832
1.1392409801483154,821
1.1452369689941406,822
1.1512501239776611,826
1.1572439670562744,825
1.1632881164550781,826
1.1693520545959473,826
1.1753768920898438,829
1.1814169883728027,830
1.1874608993530273,824
1.1935369968414307,823
1.1996161937713623,823
1.205651044845581,815
1.2117159366607666,813
1.2177770137786865,819
1.2237980365753174,819
1.2299079895019531,821
1.2359609603881836,815
1.2424280643463135,815
1.2486631870269775,811
1.254802942276001,814
1.2608919143676758,813
1.2669589519500732,812
1.3467459678649902,813
1.4661471843719482,814
1.5854542255401611,820
1.7047901153564453,817
1.824031114578247,813
1.9432001113891602,814
2.06239914894104,815
2.181663990020752,818
2.3008511066436768,817
2.420017957687378,813
2.5392889976501465,811
2.65848708152771,810
2.7776260375976562,812
2.896886110305786,812
3.0160672664642334,812
3.1352641582489014,813
3.2545149326324463,813
3.37369704246521,812
3.492856979370117,811
3.6121160984039307,811
3.7312889099121094,812
3.850508213043213,814
3.9697418212890625,812
4.088955879211426,811
4.2080771923065186,807
4.327352046966553,817
4.446575880050659,823
4.565764904022217,830
4.685068130493164,820
4.804352045059204,826
4.9234020709991455,827
5.042701244354248,834
5.161875009536743,833
5.280853986740112,832
5.400320053100586,833
5.519370079040527,828
5.638646125793457,832
5.757581949234009,832
5.877058029174805,830
5.996423006057739,829
6.115478038787842,828
6.23468804359436,829
6.353846073150635,828
6.47294282913208,827
6.592246055603027,835
6.7110819816589355,830
6.830467939376831,830
6.949984073638916,831
7.0690271854400635,828
7.188214063644409,830
7.3073649406433105,827
7.426651954650879,827
7.545830965042114,827
7.665088176727295,833
7.784265995025635,830
7.903455018997192,828
8.022714853286743,830
8.14190125465393,827
8.261064052581787,826
8.380445003509521,829
8.499505043029785,829
8.618713855743408,828
8.737940073013306,826
8.857139110565186,831
8.976319074630737,823
9.095587968826294,827
9.214789867401123,829
9.333949089050293,825
9.45320200920105,826
9.572435140609741,823
9.691575050354004,824
9.810814142227173,825
9.92997407913208,822
10.04916000366211,824
